UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,7003,M,298.1,308.6,1551,42.8,0,0,No Failure
2,1003,L,298.2,308.7,1408,46.3,3,0,No Failure
3,1004,L,298.1,308.5,1498,49.4,5,0,No Failure
4,1005,L,298.2,308.6,1433,39.5,7,0,No Failure
5,1006,L,298.2,308.7,1408,40.0,9,0,No Failure
6,7004,M,298.1,308.6,1425,41.9,11,0,No Failure
7,1007,L,298.1,308.6,1558,42.4,14,0,No Failure
8,1008,L,298.1,308.6,1527,40.2,16,0,No Failure
9,7005,M,298.3,308.7,1667,28.6,18,0,No Failure
10,7006,M,298.5,309.0,1741,28.0,21,0,No Failure
11,0,H,298.4,308.9,1782,23.9,24,0,No Failure
12,1,H,298.6,309.1,1423,44.3,29,0,No Failure
13,7007,M,298.6,309.1,1339,51.1,34,0,No Failure
14,7008,M,298.6,309.2,1742,30.0,37,0,No Failure
15,1009,L,298.6,309.2,2035,19.6,40,0,No Failure
16,1010,L,298.6,309.2,1542,48.4,42,0,No Failure
17,7009,M,298.6,309.2,1311,46.6,44,0,No Failure
18,7010,M,298.7,309.2,1410,45.6,47,0,No Failure
19,2,H,298.8,309.2,1306,54.5,50,0,No Failure
20,7011,M,298.9,309.3,1632,32.5,55,0,No Failure
21,3,H,298.9,309.3,1375,42.7,58,0,No Failure
22,1011,L,298.8,309.3,1450,44.8,63,0,No Failure
23,7012,M,298.9,309.3,1581,30.7,65,0,No Failure
24,1012,L,299.0,309.4,1758,25.7,68,0,No Failure
25,7013,M,299.0,309.4,1561,37.3,70,0,No Failure
26,1013,L,299.0,309.5,1861,23.3,73,0,No Failure
27,1014,L,299.1,309.5,1512,39.0,75,0,No Failure
28,4,H,299.1,309.4,1811,24.6,77,0,No Failure
29,1015,L,299.1,309.4,1439,44.2,82,0,No Failure
30,1016,L,299.0,309.4,1693,30.1,84,0,No Failure
31,7014,M,299.1,309.5,1339,48.2,86,0,No Failure
32,1017,L,299.0,309.4,1798,25.5,89,0,No Failure
33,1018,L,299.0,309.4,1419,48.3,91,0,No Failure
34,1019,L,298.9,309.3,1665,32.5,93,0,No Failure
35,7015,M,298.8,309.1,1559,34.7,95,0,No Failure
36,7016,M,298.8,309.2,1452,48.6,98,0,No Failure
37,7017,M,298.9,309.2,1581,36.7,101,0,No Failure
38,1020,L,298.8,309.1,1439,39.2,104,0,No Failure
39,5,H,298.9,309.2,1379,50.7,106,0,No Failure
40,1021,L,298.8,309.1,1350,52.5,111,0,No Failure
41,1022,L,298.8,309.1,1362,45.4,113,0,No Failure
42,1023,L,298.8,309.1,1368,50.8,115,0,No Failure
43,7018,M,298.8,309.1,1368,49.1,117,0,No Failure
44,6,H,298.8,309.2,1372,48.5,120,0,No Failure
45,7019,M,298.8,309.1,1472,47.5,125,0,No Failure
46,1024,L,298.8,309.1,1489,49.1,128,0,No Failure
47,7020,M,298.7,309.0,1843,25.8,130,0,No Failure
48,1025,L,298.8,309.1,1418,46.3,133,0,No Failure
49,7,H,298.8,309.2,1425,53.9,135,0,No Failure
50,7021,M,298.9,309.2,1412,44.1,140,0,No Failure
51,1026,L,298.9,309.1,2861,4.6,143,1,Power Failure
52,1027,L,298.9,309.1,1383,54.9,145,0,No Failure
53,8,H,298.8,309.0,1497,43.8,147,0,No Failure
54,1028,L,298.7,309.0,1565,35.1,152,0,No Failure
55,1029,L,298.7,309.0,1691,30.1,154,0,No Failure
56,1030,L,298.8,309.1,1512,40.7,156,0,No Failure
57,1031,L,298.8,309.1,1477,42.4,158,0,No Failure
58,1032,L,298.8,309.1,1513,40.3,160,0,No Failure
59,7022,M,298.8,309.0,1661,29.5,162,0,No Failure
60,1033,L,298.8,309.1,1378,54.4,165,0,No Failure
61,1034,L,298.8,309.1,1393,52.6,167,0,No Failure
62,7023,M,298.8,309.0,1592,38.2,169,0,No Failure
63,1035,L,298.8,309.0,1829,22.9,172,0,No Failure
64,7024,M,298.9,309.0,1812,25.9,174,0,No Failure
65,1036,L,299.0,309.1,1523,38.6,177,0,No Failure
66,1037,L,299.0,309.1,1394,45.1,179,0,No Failure
67,7025,M,298.9,308.9,1679,28.7,181,0,No Failure
68,9,H,298.8,308.9,1466,44.1,184,0,No Failure
69,1038,L,298.8,308.9,1527,32.4,189,0,No Failure
70,1039,L,298.9,309.0,1410,65.7,191,1,Power Failure
71,7026,M,298.9,309.0,1924,22.6,193,0,No Failure
72,1040,L,298.9,309.1,1452,45.5,196,0,No Failure
73,1041,L,298.9,309.1,1369,44.4,198,0,No Failure
74,1042,L,299.0,309.1,1592,35.0,200,0,No Failure
75,1043,L,298.9,309.0,1601,32.3,202,0,No Failure
76,1044,L,298.8,308.9,1379,46.7,204,0,No Failure
77,1045,L,298.8,308.9,1461,47.9,206,0,No Failure
78,1046,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
79,1047,L,298.8,308.9,1398,51.5,0,0,No Failure
80,1048,L,298.8,308.9,1402,37.9,2,0,No Failure
81,10,H,298.8,308.8,1445,49.9,4,0,No Failure
82,1049,L,298.9,308.9,1450,47.5,9,0,No Failure
83,1050,L,298.9,308.9,1453,40.8,11,0,No Failure
84,1051,L,299.0,309.0,1469,40.1,13,0,No Failure
85,1052,L,298.9,308.9,1422,47.6,15,0,No Failure
86,7027,M,299.0,309.0,1804,26.8,17,0,No Failure
87,11,H,299.0,309.0,1436,43.9,20,0,No Failure
88,1053,L,299.0,309.0,1544,31.8,25,0,No Failure
89,7028,M,299.0,309.0,1419,45.2,27,0,No Failure
90,7029,M,298.9,308.9,1487,39.5,30,0,No Failure
91,1054,L,298.9,308.9,1753,25.8,33,0,No Failure
92,1055,L,298.9,308.9,1830,24.9,35,0,No Failure
93,7030,M,298.9,308.9,1727,27.1,37,0,No Failure
94,1056,L,299.1,309.0,1450,43.0,40,0,No Failure
95,1057,L,299.0,308.9,1622,31.9,42,0,No Failure
96,7031,M,299.0,309.0,1351,52.2,44,0,No Failure
97,7032,M,299.0,309.0,1575,35.3,47,0,No Failure
98,7033,M,298.9,308.9,1750,29.9,50,0,No Failure
99,1058,L,298.9,308.8,1529,32.7,53,0,No Failure
100,1059,L,298.8,308.8,1523,44.4,55,0,No Failure
101,1060,L,298.8,308.9,1852,25.0,57,0,No Failure
102,1061,L,298.8,308.8,1991,20.7,59,0,No Failure
103,1062,L,298.8,308.8,1555,40.6,61,0,No Failure
