Failure Type
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
